ARDMS SYSTEM BACKUP REPORT - DATE: 2026-07-12
Device Hostname: , DESKTOP-KBHB0SB
Device Info: , DESKTOP-KBHB0SB (User: Alienware, OS: Windows_NT x64)
Generated At: , 12/7/2026, 3:30:36 pm

SECTION 1: RESCUE REQUESTS & TASKS
Request ID,Type,Urgency,Status,Latitude,Longitude,Details/Location,Assigned Responder,Created At,Updated At,Device Node
455,medical,critical,completed,12.99099099099099,80.19674590511194,Critical Emergency Triggered,Ram (MEM-07),2026-07-12 05:45:25,2026-07-12 05:45:39,DESKTOP-KBHB0SB
456,pregnancy,critical,completed,12.99099099099099,80.19674590511194,"Critical Emergency Triggered
[Ignored by Rescuer ID: 13]",Arjun Singh (MEM-01),2026-07-12 06:52:22,2026-07-12 06:52:53,DESKTOP-KBHB0SB
457,pregnancy,critical,completed,12.99099099099099,80.19674590511194,Critical Emergency Triggered,Ram (MEM-07),2026-07-12 08:03:34,2026-07-12 08:04:04,DESKTOP-KBHB0SB
458,medical,critical,completed,12.99099099099099,80.19674590511194,"Critical Emergency Triggered
[Ignored by Rescuer ID: 13]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-07-12 08:05:20,2026-07-12 08:06:45,DESKTOP-KBHB0SB
459,pregnancy,critical,completed,12.99099099099099,80.19674590511194,"Critical Emergency Triggered
[Ignored by Rescuer ID: 13]
[Ignored by Rescuer ID: 1]
[AI_ROTATION_COMPLETED]",Arjun Singh (MEM-01),2026-07-12 08:08:39,2026-07-12 08:12:46,DESKTOP-KBHB0SB
460,medical,critical,completed,12.99099099099099,80.19674590511194,"Critical Emergency Triggered
[Declined by Rescuer ID: 13]
[AI_ROTATION_COMPLETED]
[Declined by Rescuer ID: 13]",Ram (MEM-07),2026-07-12 08:33:20,2026-07-12 08:40:13,DESKTOP-KBHB0SB
461,sos,normal,completed,12.99099099099099,80.19674590511194,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":true,""note"":false}}
[Declined by Rescuer ID: 13]
[AI_ROTATION_COMPLETED]",Ram (MEM-07),2026-07-12 08:40:47,2026-07-12 08:41:54,DESKTOP-KBHB0SB
462,supplies,normal,completed,12.99099099099099,80.19674590511194,"{""transportMode"":""ROAD"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Declined by Rescuer ID: 13]",Ram (MEM-07),2026-07-12 08:42:26,2026-07-12 08:43:15,DESKTOP-KBHB0SB
463,supplies,normal,completed,12.99099099099099,80.19674590511194,"{""transportMode"":""AIR"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":true,""note"":false}}
[Declined by Rescuer ID: 3]",Neha Sharma (MEM-04),2026-07-12 09:58:39,2026-07-12 09:59:29,DESKTOP-KBHB0SB
464,medical,critical,completed,12.99099099099099,80.19674590511194,"Critical Emergency Triggered
[Declined by Rescuer ID: 3]",Neha Sharma (MEM-04),2026-07-12 09:59:40,2026-07-12 10:00:31,DESKTOP-KBHB0SB


SECTION 2: RESCUER COMMAND DISPATCHES
Command ID,Assigned Group ID,Target Phone,Payload Details,Type,Status,Created At,Acknowledged At,Device Node
214,N/A,919000000007,"{""message"":""AI ASSIGNED: MEDICAL at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.99099099099099,""lng"":80.19674590511194,""urgency"":""critical"",""rescue_req_id"":455,""requester_name"":""RK"",""requester_phone"":""918000000005"",""details"":""Critical Emergency Triggered"",""assigned_by"":""AI"",""assignment_version"":1}",Critical,completed,2026-07-12 05:45:32,,DESKTOP-KBHB0SB
215,N/A,919000000007,"{""message"":""SELF-ASSIGNED: MEDICAL at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.99099099099099,""lng"":80.19674590511194,""urgency"":""critical"",""rescue_req_id"":455,""requester_name"":""RK"",""requester_phone"":""918000000005"",""details"":""Critical Emergency Triggered"",""assigned_by"":""Self""}",Critical,completed,2026-07-12 05:45:39,,DESKTOP-KBHB0SB
216,N/A,919000000007,"{""message"":""AI ASSIGNED: PREGNANCY at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.99099099099099,""lng"":80.19674590511194,""urgency"":""critical"",""rescue_req_id"":456,""requester_name"":""RK"",""requester_phone"":""918000000005"",""details"":""Critical Emergency Triggered"",""assigned_by"":""AI"",""assignment_version"":1}",Critical,completed,2026-07-12 06:52:35,,DESKTOP-KBHB0SB
217,N/A,919000000001,"{""message"":""AI ASSIGNED: PREGNANCY at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.99099099099099,""lng"":80.19674590511194,""urgency"":""critical"",""rescue_req_id"":456,""requester_name"":""RK"",""requester_phone"":""918000000005"",""details"":""Critical Emergency Triggered\n[Ignored by Rescuer ID: 13]"",""assigned_by"":""AI"",""assignment_version"":3}",Critical,completed,2026-07-12 06:52:49,,DESKTOP-KBHB0SB
218,N/A,919000000001,"{""message"":""SELF-ASSIGNED: PREGNANCY at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.99099099099099,""lng"":80.19674590511194,""urgency"":""critical"",""rescue_req_id"":456,""requester_name"":""RK"",""requester_phone"":""918000000005"",""details"":""Critical Emergency Triggered\n[Ignored by Rescuer ID: 13]"",""assigned_by"":""Self""}",Critical,completed,2026-07-12 06:52:53,,DESKTOP-KBHB0SB
219,N/A,919000000007,"{""message"":""AI ASSIGNED: PREGNANCY at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.99099099099099,""lng"":80.19674590511194,""urgency"":""critical"",""rescue_req_id"":457,""requester_name"":""RK"",""requester_phone"":""918000000005"",""details"":""Critical Emergency Triggered"",""assigned_by"":""AI"",""assignment_version"":1}",Critical,completed,2026-07-12 08:03:46,,DESKTOP-KBHB0SB
220,N/A,919000000007,"{""message"":""AI ASSIGNED: PREGNANCY at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.99099099099099,""lng"":80.19674590511194,""urgency"":""critical"",""rescue_req_id"":457,""requester_name"":""RK"",""requester_phone"":""918000000005"",""details"":""Critical Emergency Triggered"",""assigned_by"":""AI"",""assignment_version"":1}",Critical,completed,2026-07-12 08:03:46,,DESKTOP-KBHB0SB
